     Largura       Altura     Profund.        Valor       Numero      Rotacao
          13            3            2           35            1            1
           5            3            4           23            2            1
           7            3            2           20            3            1
          13            3            4           39            4            1
           5            3            2           18            5            1
          13            3            2           34            6            1
           5            4            4           29            7            1
           7            4            2           29            8            1
           7            4            2           29            9            1
          13            4            4           47           10            1
           5            5            2           31           11            1
           7            6            4           54           12            1
           5            6            4           46           13            1
          13            7            2           83           14            1
           5            7            2           42           15            1
           7            8            2           58           16            1
           7            9            4           81           17            1
           5            9            2           51           18            1
           7            9            4           73           19            1
          13            9            2          106           20            1
          13           10            2          107           21            1
           5           10            4           76           22            1
           5           10            4           76           23            1
          13           10            4          119           24            1
          13           10            4          119           25            1
           7           11            4           99           26            1
           5           12            4           88           27            1
          13           12            2          128           28            1
           7           12            2           92           29            1
          13           13            2          139           30            1
          13           13            2          139           31            1
          13           14            2          149           32            1
           7           14            4          121           33            1
          13           15            2          160           34            1
          13           15            4          190           35            1
           5           15            4          103           36            1
           7           15            2          110           37            1
           7           15            4          122           38            1
          13           15            2          178           39            1
           7           15            2          103           40            1
           3           13            2           35            1            2
           3            5            4           23            2            2
           3            7            2           20            3            2
           3           13            4           39            4            2
           3            5            2           18            5            2
           3           13            2           34            6            2
           4            5            4           29            7            2
           4            7            2           29            8            2
           4            7            2           29            9            2
           4           13            4           47           10            2
           5            5            2           31           11            2
           6            7            4           54           12            2
           6            5            4           46           13            2
           7           13            2           83           14            2
           7            5            2           42           15            2
           8            7            2           58           16            2
           9            7            4           81           17            2
           9            5            2           51           18            2
           9            7            4           73           19            2
           9           13            2          106           20            2
          10           13            2          107           21            2
          10            5            4           76           22            2
          10            5            4           76           23            2
          10           13            4          119           24            2
          10           13            4          119           25            2
          11            7            4           99           26            2
          12            5            4           88           27            2
          12           13            2          128           28            2
          12            7            2           92           29            2
          13           13            2          139           30            2
          13           13            2          139           31            2
          14           13            2          149           32            2
          14            7            4          121           33            2
          15           13            2          160           34            2
          15           13            4          190           35            2
          15            5            4          103           36            2
          15            7            2          110           37            2
          15            7            4          122           38            2
          15           13            2          178           39            2
          15            7            2          103           40            2
