     Largura       Altura     Profund.        Valor       Numero      Rotacao
         781          633          972          178            1            1
         285          380          998          814            2            1
         836          225          624           50            3            1
         686          780          477          475            4            1
         840          746          259          646            5            1
         373          184          363          566            6            1
         171          833          716          596            7            1
         541          841          232          279            8            1
         135          619          922          196            9            1
         565          895          144          482           10            1
          71          202          386          761           11            1
         322          548          600          894           12            1
         631          105          374          568           13            1
         206          250           59          836           14            1
         291          911          862          664           15            1
         977          125          405          449           16            1
         498          782          681          118           17            1
         291          468          792          343           18            1
         311          476          784          409           19            1
         451          608          578          108           20            1
         503          625          298          125           21            1
         636          570          750          725           22            1
         968          281          343          981           23            1
         863          209          363          590           24            1
         926          630          483          516           25            1
         864          363          418          774           26            1
         821          991          165           35           27            1
         677            7          602          252           28            1
         834          870          869           48           29            1
         546          885          475           65           30            1
         225           12           46          155           31            1
         613          666          443          775           32            1
         474           97          526          755           33            1
          67          475          852          250           34            1
         371           95          174          753           35            1
         175          451          243          472           36            1
         497          450          188          487           37            1
         750           83          455          346           38            1
         458          227          411          864           39            1
         452          578           90          794           40            1
          24          153           70          932           41            1
         633          901          569          664           42            1
         721          787           50          965           43            1
         835          346          278           74           44            1
         438          934          172          456           45            1
         366          564          935          710           46            1
         113          197          530          104           47            1
         767          531          175          792           48            1
         542          263          908          718           49            1
          40           88          174          804           50            1
         905          687          750           81           51            1
         709           96          650          834           52            1
         501          274          843          449           53            1
         803          921          182          766           54            1
         567          876          598          727           55            1
         103          149          831           40           56            1
         334          556          141          158           57            1
         565          918          670          813           58            1
         826          854          787          372           59            1
         279          863           25           49           60            1
         111          985          498           92           61            1
         744          160          221          539           62            1
         792           26          305          245           63            1
         978          689           28           99           64            1
         962            8          716          502           65            1
         379          297          812          919           66            1
         167          596          130          526           67            1
         779           56          983          520           68            1
         626          761          762           63           69            1
         211          366          549          207           70            1
         469          989          913          619           71            1
         257           59          345          149           72            1
         724          576          671          212           73            1
         921          810          305          409           74            1
         467          922          980          114           75            1
         525          561          665          261           76            1
         658          800          266          532           77            1
         169          118          191          960           78            1
         251          500          155          433           79            1
         832          598           79          863           80            1
         831          964           25          243           81            1
         966          100          994          429           82            1
         589          391          364          201           83            1
          63          322          187          213           84            1
          24          402          299          997           85            1
         831          972          470          451           86            1
         943          604          240          332           87            1
         499          682          972          566           88            1
         899          214          853          616           89            1
          86          126          443           77           90            1
         808          719          873          764           91            1
         971            5          564          343           92            1
          35          790          674          331           93            1
         428          505          383          696           94            1
         147           43          214          426           95            1
         312          297          247          703           96            1
         787          704          741          936           97            1
         395          984          753           76           98            1
         793          524          314          586           99            1
         364          912          279          933          100            1
          36          521          539          195          101            1
         138          215          392           14          102            1
         360          635          596           93          103            1
         304          115          732           25          104            1
         744           87          982          578          105            1
         573          623          886          553          106            1
         325           57          887          302          107            1
         210          983          207          359          108            1
         843          888          118          926          109            1
         267          381          661          804          110            1
         745          763          579          933          111            1
         344          810           13            4          112            1
         940          517          982           40          113            1
         259          424          679          412          114            1
         375          756          936          447          115            1
         149          258          730          710          116            1
         523          946          201          122          117            1
         646           28           61          658          118            1
         790          770            6          903          119            1
         170          460          369          510          120            1
         705          245          559          700          121            1
         974          607          948          179          122            1
         991          383          644          297          123            1
         333          816          696          461          124            1
         111          258          391           77          125            1
         723           49          891          883          126            1
         278          696          288           59          127            1
         154          414          759          186          128            1
          78          334          310          899          129            1
           3          505          947            3          130            1
         192          258          365          344          131            1
         763          959          362          859          132            1
         714          914          385          594          133            1
         595          811          103          587          134            1
         215          985          794          723          135            1
          50          359          402          859          136            1
         452           42          440          697          137            1
          62          712           18            8          138            1
         146          359          581          239          139            1
         422          302           38          677          140            1
         115          466          973          988          141            1
         868          983          837           87          142            1
         657          436          970          490          143            1
         308          446          289          395          144            1
         443          258          840          523          145            1
         921          611          728          627          146            1
         526          783          612          821          147            1
         709          905          624          998          148            1
          31          222          601          387          149            1
         101          563          177          935          150            1
         226          940          716          125          151            1
         381          458          943          852          152            1
         440          578          684          667          153            1
         864          290          903          331          154            1
         294           26          519          490          155            1
         112          269          415          298          156            1
         975          326          982          750          157            1
          57          399          248          607          158            1
         319          246          773          555          159            1
         230          453           16          608          160            1
          19          165          300          493          161            1
         874          479           57          681          162            1
         833          101            5          357          163            1
         430          860          746          197          164            1
         327          523          305          167          165            1
         437          196          217          777          166            1
         849          571           18          317          167            1
         441          191          999          568          168            1
         291          456          924          461          169            1
         369          618          719          802          170            1
         377           97          725          823          171            1
         965          830          229          194          172            1
         752          566           19          939          173            1
         616          177           38          383          174            1
         633          460          171          859          175            1
         684          891          236          148          176            1
         191          579           46           45          177            1
         529          102          923          554          178            1
         393          970          523          705          179            1
         774          453           96          377          180            1
         682          591          719          370          181            1
         852          386          185          656          182            1
         538          522          364          562          183            1
         753          662          576          166          184            1
         585          666          427          504          185            1
         997           57          537          103          186            1
         435          764          954          516          187            1
         891          176          689          484          188            1
         181          694          863          170          189            1
         738          375          226          708          190            1
          88          237          481          497          191            1
         593          558          640          466          192            1
         414          374          140          219          193            1
         530           73           41          756          194            1
         213          955          773          115          195            1
         853          724          889          158          196            1
         885          985          366          122          197            1
         280          632          495          452          198            1
         107            5          799          904          199            1
         654          958            7          848          200            1
         633          781          972          178            1            2
         380          285          998          814            2            2
         225          836          624           50            3            2
         780          686          477          475            4            2
         746          840          259          646            5            2
         184          373          363          566            6            2
         833          171          716          596            7            2
         841          541          232          279            8            2
         619          135          922          196            9            2
         895          565          144          482           10            2
         202           71          386          761           11            2
         548          322          600          894           12            2
