0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
-1,-1,-1,8,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,
-1,-1,-1,8,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,
-1,-1,-1,8,-1,4,-1,-1,4,-1,4,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,8,-1,4,-1,-1,4,-1,4,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,-1,-1,13,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,13,13,-1,-1,9,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,-1,-1,13,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,13,13,-1,-1,9,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,13,-1,-1,8,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,13,-1,-1,8,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,-1,-1,11,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,9,13,13,11,8,9,13,13,11,8,9,13,13,11,8,9,-1,-1,11,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,25,25,28,25,25,25,25,25,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,25,25,28,25,25,25,25,25,25,25,25,25,25,25,25,25,-1,-1,25,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,25,25,28,25,25,25,25,25,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,25,25,28,25,25,25,25,25,25,25,25,25,25,25,25,25,-1,-1,25,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,25,25,28,25,25,25,25,25,25,25,25,25,25,25,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,94,94,29,29,32,94,29,29,29,29,94,29,29,29,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,32,32,104,32,32,32,32,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,32,32,33,32,32,32,32,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,32,32,33,32,32,32,32,32,32,32,32,32,32,32,32,32,-1,-1,32,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,32,32,33,32,32,32,32,32,32,32,32,32,32,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,35,-1,-1,-1,-1,35,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,-1,35,-1,-1,35,-1,35,-1,-1,35,-1,-1,-1,-1,35,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,35,-1,-1,-1,-1,35,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,-1,49,48,48,49,-1,49,-1,-1,48,-1,49,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,49,49,-1,48,49,49,49,-1,48,-1,-1,49,-1,48,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,-1,
-1,-1,-1,50,56,47,47,51,47,47,47,47,47,47,47,47,47,47,47,47,47,47,-1,-1,47,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,67,67,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,67,67,67,-1,-1,67,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,67,67,67,67,-1,-1,67,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,67,67,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,67,67,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,59,67,67,67,67,73,67,67,67,67,67,67,-1,-1,67,-1,-1,-1,-1,-1,
-1,-1,-1,153,111,67,67,73,73,67,67,67,67,67,73,67,67,67,67,67,67,-1,-1,67,-1,-1,-1,-1,-1,
-1,-1,-1,90,93,69,69,88,69,69,69,69,69,69,69,69,69,69,69,69,69,-1,-1,69,-1,-1,-1,-1,-1,
-1,-1,-1,90,93,69,69,88,69,69,69,69,69,69,69,69,69,69,69,69,69,-1,-1,69,-1,-1,-1,-1,-1,
-1,-1,-1,90,93,69,69,88,69,69,69,69,69,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
